schema_version,ts,timeframe,source,open,high,low,close,volume,received_at,close_confirmed_at,is_closed,quality_flags
1,2023-12-17T06:00:00Z,1h,coinbase-exchange:BTC-USD,41869.25,41985.6,41760.37,41959.57,196.98332823,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T07:00:00Z,1h,coinbase-exchange:BTC-USD,41955.9,42000,41808.73,41838.93,258.56485356,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T08:00:00Z,1h,coinbase-exchange:BTC-USD,41840.3,41864.68,41629.08,41847.8,260.95529696,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T09:00:00Z,1h,coinbase-exchange:BTC-USD,41847.8,41947.4,41773.34,41932.53,203.32073529,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T10:00:00Z,1h,coinbase-exchange:BTC-USD,41931.84,41972.01,41841.35,41897.97,188.08481552,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T11:00:00Z,1h,coinbase-exchange:BTC-USD,41896.13,41936.67,41799.17,41901.65,167.27839442,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T12:00:00Z,1h,coinbase-exchange:BTC-USD,41901.65,41950,41818.16,41897.61,201.09122842,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T13:00:00Z,1h,coinbase-exchange:BTC-USD,41897.61,41907.07,41732.51,41806.84,202.09643032,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T14:00:00Z,1h,coinbase-exchange:BTC-USD,41809.14,41900,41500,41573.12,411.56341189,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T15:00:00Z,1h,coinbase-exchange:BTC-USD,41573.34,41811.54,41517.14,41762.86,338.22962845,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T16:00:00Z,1h,coinbase-exchange:BTC-USD,41762.86,42074.6,41643.38,42052.45,296.54503046,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T17:00:00Z,1h,coinbase-exchange:BTC-USD,42052.44,42367.82,41958.19,42034.06,602.50242868,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T18:00:00Z,1h,coinbase-exchange:BTC-USD,42036.37,42181.82,41749,42120.98,301.36974948,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T19:00:00Z,1h,coinbase-exchange:BTC-USD,42120.07,42156.88,41992.51,42051.96,186.42853757,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T20:00:00Z,1h,coinbase-exchange:BTC-USD,42051.18,42137.47,41996.8,42067.54,268.52752564,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T21:00:00Z,1h,coinbase-exchange:BTC-USD,42065.54,42065.54,41854.31,41880.04,181.57459388,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T22:00:00Z,1h,coinbase-exchange:BTC-USD,41880.04,41887.82,41580,41678.29,290.00504373,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T23:00:00Z,1h,coinbase-exchange:BTC-USD,41675.79,41708.54,41222,41349.59,872.00485412,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T00:00:00Z,1h,coinbase-exchange:BTC-USD,41349.59,41421.1,41146.21,41340.27,450.504345,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T01:00:00Z,1h,coinbase-exchange:BTC-USD,41340.28,41392.25,40871.6,40955.84,566.30282755,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T02:00:00Z,1h,coinbase-exchange:BTC-USD,40952.23,41099.64,40765.27,40866.24,418.06812527,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T03:00:00Z,1h,coinbase-exchange:BTC-USD,40866.43,41086.78,40828.72,41065.09,318.53390566,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T04:00:00Z,1h,coinbase-exchange:BTC-USD,41065.35,41184.47,41005.48,41152.22,299.72977762,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T05:00:00Z,1h,coinbase-exchange:BTC-USD,41152.58,41158.81,40961.88,40967.43,479.20212164,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T06:00:00Z,1h,coinbase-exchange:BTC-USD,40967.43,41237.64,40950.2,41160.12,497.24859643,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T07:00:00Z,1h,coinbase-exchange:BTC-USD,41161.72,41261.71,41053.3,41085.87,272.01006988,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T08:00:00Z,1h,coinbase-exchange:BTC-USD,41085.87,41216.49,40990,41156.03,179.17577484,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T09:00:00Z,1h,coinbase-exchange:BTC-USD,41153.33,41161.18,40775.02,41002.6,530.54626473,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T10:00:00Z,1h,coinbase-exchange:BTC-USD,40999.35,41022.62,40508.01,40778.21,830.72985461,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T11:00:00Z,1h,coinbase-exchange:BTC-USD,40779.5,41150,40745.27,41062.49,351.92804276,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T12:00:00Z,1h,coinbase-exchange:BTC-USD,41063.21,41084.06,40847.12,40868.69,216.23973867,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T13:00:00Z,1h,coinbase-exchange:BTC-USD,40868.69,41392.92,40855.6,41308.36,351.88687889,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T14:00:00Z,1h,coinbase-exchange:BTC-USD,41308.36,41716.71,41214.6,41566.24,569.6251671,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T15:00:00Z,1h,coinbase-exchange:BTC-USD,41569.37,41629.75,41227.22,41246.85,1033.05143954,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T16:00:00Z,1h,coinbase-exchange:BTC-USD,41250.89,41490.25,41128.59,41476.91,646.13028802,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T17:00:00Z,1h,coinbase-exchange:BTC-USD,41477.25,41629.99,41369.24,41377.78,498.39934336,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T18:00:00Z,1h,coinbase-exchange:BTC-USD,41369.43,41627.16,41277,41625.04,475.55078752,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T19:00:00Z,1h,coinbase-exchange:BTC-USD,41627.41,41723.15,41611.83,41689.16,901.87196613,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T20:00:00Z,1h,coinbase-exchange:BTC-USD,41688.59,42042.6,41558.89,41959.69,833.31506074,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
